ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
2004-03-10 18:00:00,2.6,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578,44.64228619,29.44753149,59.53260722
2004-03-10 19:00:00,2,1292,112,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255,48.07414006,31.25935328,63.87129178
2004-03-10 20:00:00,2.2,1402,88,9,939,131,1140,114,1555,1074,11.9,54,0.7502,51.24578149,35.97585071,67.76711449
2004-03-10 21:00:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,11,60,0.7867,53.59795618,37.51323746,68.65120899
2004-03-10 22:00:00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888,55.25044706,39.34734304,70.63373526
2004-03-10 23:00:00,1.2,1197,38,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848,56.69297283,41.85112643,72.20206964
2004-03-11 00:00:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603,58.22397876,43.05058385,73.68750067
2004-03-11 01:00:00,1,1136,31,3.3,672,62,1453,76,1333,730,10.7,60,0.7702,59.72045039,45.26444898,75.24417155
2004-03-11 02:00:00,0.9,1094,24,2.3,609,45,1579,60,1276,620,10.7,59.7,0.7648,60.92181985,46.62727291,76.71485673
2004-03-11 03:00:00,0.6,1010,19,1.7,561,-200,1705,-200,1235,501,10.3,60.2,0.7517,61.83791596,45.9903217,77.84359688
2004-03-11 04:00:00,-200,1011,14,1.3,527,21,1818,34,1197,445,10.1,60.5,0.7465,62.75591543,47.26371649,78.60104729
2004-03-11 05:00:00,0.7,1066,8,1.1,512,16,1918,28,1182,422,11,56.2,0.7366,63.7742383,48.0303854,78.52830419
2004-03-11 06:00:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353,64.35976903,48.05464946,80.27192143
2004-03-11 07:00:00,1.1,1144,29,3.2,667,98,1490,82,1339,730,10.2,59.6,0.7417,63.49451944,47.53690724,79.34955449
2004-03-11 08:00:00,2,1333,64,8,900,174,1136,112,1517,1102,10.8,57.4,0.7408,60.43097155,45.79520747,77.69084414
2004-03-11 09:00:00,2.2,1351,87,9.5,960,129,1079,101,1583,1028,10.5,60.6,0.7691,55.43425224,39.96350968,70.74601044
2004-03-11 10:00:00,1.7,1233,77,6.3,827,112,1218,98,1446,860,10.8,58.4,0.7552,49.80816611,34.17282157,65.92382813
2004-03-11 11:00:00,1.5,1179,43,5,762,95,1328,92,1362,671,10.5,57.9,0.7352,45.10629904,29.26990968,59.95147281
2004-03-11 12:00:00,1.6,1236,61,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951,42.16684575,26.90156672,57.70170711
2004-03-11 13:00:00,1.9,1286,63,7.3,869,146,1162,112,1537,799,8.3,76.4,0.8393,40.77596266,24.18518076,56.84708123
2004-03-11 14:00:00,2.9,1371,164,11.5,1034,207,983,128,1730,1037,8,81.1,0.8736,40.1907617,24.91646515,54.95686608
2004-03-11 15:00:00,2.2,1310,79,8.8,933,184,1082,126,1647,946,8.3,79.8,0.8778,39.97914914,23.76405945,55.99045051
2004-03-11 16:00:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,9.7,71.2,0.8569,40.388269,25.62458249,56.26493418
2004-03-11 17:00:00,2.9,1383,150,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.8185,41.95071924,26.02651971,57.01641602
2004-03-11 18:00:00,4.8,1581,307,20.8,1319,281,799,151,2083,1409,10.3,64.2,0.8065,44.77920388,29.58410272,60.21705092
2004-03-11 19:00:00,6.9,1776,461,27.4,1488,383,702,172,2333,1704,9.7,69.3,0.8319,48.27008571,30.7070722,63.66204288
2004-03-11 20:00:00,6.1,1640,401,24,1404,351,743,165,2191,1654,9.6,67.8,0.8133,51.49904119,34.9761865,66.20279704
2004-03-11 21:00:00,3.9,1313,197,12.8,1076,240,957,136,1707,1285,9.1,64,0.7419,53.90562237,39.22700579,68.88033466
2004-03-11 22:00:00,1.5,965,61,4.7,749,94,1325,85,1333,821,8.2,63.4,0.6905,55.60846929,40.96545008,71.19596775
2004-03-11 23:00:00,1,913,26,2.6,629,47,1565,53,1252,552,8.2,60.8,0.6657,57.09622396,41.36454578,73.81080695
2004-03-12 00:00:00,1.7,1080,55,5.9,805,122,1254,97,1375,816,8.3,58.5,0.6438,58.66633564,44.00536807,73.6083765
2004-03-12 01:00:00,1.9,1044,53,6.4,829,133,1247,110,1378,832,7.7,59.7,0.6308,60.1948879,45.35900103,76.0760788
2004-03-12 02:00:00,1.4,988,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276,61.42051704,46.08661259,76.63193623
2004-03-12 03:00:00,0.8,889,21,1.9,574,-200,1680,-200,1187,512,7,62.3,0.6261,62.35237275,46.94407584,78.13028818
2004-03-12 04:00:00,-200,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248,63.27707839,47.5910058,78.59303271
2004-03-12 05:00:00,0.6,847,7,1,501,30,1895,44,1155,394,6.3,65,0.6233,64.29263374,48.4598206,79.86299746
2004-03-12 06:00:00,0.8,927,17,1.8,571,56,1685,71,1223,487,6.8,62.9,0.6234,64.86564161,49.77043481,80.76607862
2004-03-12 07:00:00,1.4,1091,33,4.4,730,109,1387,104,1361,748,6.4,65.1,0.6316,63.9779745,49.15925924,79.2780184
2004-03-12 08:00:00,4.4,1587,202,17.9,1236,307,897,141,1900,1400,7.3,63.1,0.6499,60.88211917,45.35867136,75.55554906
2004-03-12 09:00:00,-200,1545,-200,22.1,1353,-200,767,-200,2058,1588,9.2,56.2,0.6561,55.84335117,41.42443483,70.87078999
2004-03-12 10:00:00,3.1,1350,208,14,1118,187,912,122,1712,1237,13.2,41.7,0.632,50.16576565,35.02187187,65.37304366
2004-03-12 11:00:00,2.7,1263,166,11.6,1037,216,969,143,1598,1167,14.3,38.4,0.6243,45.4033769,30.24575641,61.14385389
2004-03-12 12:00:00,2.1,1206,114,10.2,986,143,1035,113,1537,959,15,36.5,0.6195,42.39494013,27.06739964,58.18934754
2004-03-12 13:00:00,2.5,1252,140,11,1016,160,1008,116,1593,983,16.1,34.5,0.6262,40.92729682,24.21341479,55.48543029
2004-03-12 14:00:00,2.7,1287,169,12.8,1078,163,949,123,1660,1061,16.3,35.7,0.656,40.25835923,24.41451989,55.75355879
2004-03-12 15:00:00,2.9,1353,185,14.2,1122,190,922,126,1740,1139,15.8,37,0.661,39.95693851,24.89488366,55.304028
2004-03-12 16:00:00,2.8,1309,165,12.7,1073,178,954,120,1657,1112,15.9,37.2,0.6657,40.27117596,24.38248733,55.98598351
2004-03-12 17:00:00,2.4,1274,133,11.7,1041,150,1006,119,1610,994,16.9,34.3,0.6549,41.73474584,25.74054976,57.0133725
2004-03-12 18:00:00,3.9,1510,233,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.6766,44.461493,29.5851302,59.83255292
2004-03-12 19:00:00,3.7,1525,242,18.2,1246,202,821,145,1847,1448,14.4,43.4,0.7084,47.84897028,31.27242695,63.65401081
2004-03-12 20:00:00,6.6,1843,488,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478,50.97407742,35.14660051,66.34122567
2004-03-12 21:00:00,4.4,1598,333,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.7536,53.27760653,37.50687879,68.43747394
2004-03-12 22:00:00,3.5,1484,215,14.3,1127,253,839,139,1723,1491,11,59.1,0.774,54.87943775,39.80785386,70.73619187
2004-03-12 23:00:00,5.4,1677,367,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.7771,56.26943651,41.48904329,72.39576851
2004-03-13 00:00:00,2.7,1280,122,9.6,964,193,963,113,1544,1285,9.5,64.1,0.7597,57.74624226,43.17802455,72.647801
2004-03-13 01:00:00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423,59.18707942,42.64793538,74.44427133
2004-03-13 02:00:00,1.6,1184,43,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.7256,60.33166019,44.84372406,76.73725595
2004-03-13 03:00:00,1.7,1172,46,5.4,783,-200,1179,-200,1380,996,7.8,67.5,0.7173,61.19013061,45.87935693,77.21468528
2004-03-13 04:00:00,-200,1147,56,6.2,821,109,1132,83,1412,992,7,71.1,0.7158,62.05001706,47.41732055,77.04746274
2004-03-13 05:00:00,1,978,30,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982,63.01011658,46.79730727,77.7689076
2004-03-13 06:00:00,1.2,1100,27,2.9,646,53,1406,60,1268,835,7.2,67.5,0.6887,63.53771235,48.82806558,78.92796875
2004-03-13 07:00:00,1.5,1112,47,5.1,770,139,1228,77,1409,940,6.3,71.9,0.6932,62.61523063,46.56998203,79.5835951
2004-03-13 08:00:00,2.7,1336,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945,59.4955775,43.54483214,76.07805459
2004-03-13 09:00:00,3.7,1408,239,15.1,1153,295,830,119,1777,1411,9.6,59.7,0.7124,54.44430697,38.86119179,70.50755474
2004-03-13 10:00:00,3.2,1447,160,12.9,1081,250,869,126,1667,1465,12.4,51.2,0.7335,48.76564753,33.78045344,63.80093554
2004-03-13 11:00:00,4.1,1542,283,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.7451,44.01359907,28.15391418,59.46944154
2004-03-13 12:00:00,3.6,1451,210,14,1117,239,875,161,1679,1387,18.4,33.8,0.709,41.02675412,25.82264748,57.22654209
2004-03-13 13:00:00,2.8,1328,154,12.3,1059,153,987,124,1600,1101,19.4,31.3,0.695,39.59164449,24.28201951,55.20472409
2004-03-13 14:00:00,2,1207,112,8.6,924,118,1088,102,1488,850,18,34.8,0.7127,38.96572916,23.791133,54.9954323
2004-03-13 15:00:00,2,1240,108,9.2,947,119,1049,116,1532,947,18.4,33.6,0.7042,38.71722749,24.62688026,53.64694763
2004-03-13 16:00:00,2.5,1306,111,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012,39.09355748,22.74210479,54.74879953
2004-03-13 17:00:00,2.3,1326,97,10.6,1000,148,976,125,1602,1084,16.7,37.8,0.7117,40.62754741,25.13178554,56.38903205
2004-03-13 18:00:00,3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41,0.7451,43.43208381,28.43721269,58.57573378
2004-03-13 19:00:00,4.2,1609,258,19.6,1286,277,758,165,1922,1612,15.8,42.4,0.7569,46.90366078,31.11099532,62.97837588
2004-03-13 20:00:00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.7786,50.11803223,34.70272757,64.77083986
2004-03-13 21:00:00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,15.3,46.8,0.8091,52.51477172,36.8640448,67.11478098
2004-03-13 22:00:00,3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806,54.21248373,39.29189983,69.90481435
2004-03-13 23:00:00,2.6,1418,116,10.9,1010,172,892,130,1603,1536,14.7,49.3,0.8193,55.69971714,40.36440784,71.0909915
2004-03-14 00:00:00,2.9,1534,93,11,1013,190,889,129,1611,1535,13.9,53.6,0.8498,57.27377095,41.87227921,71.17319652
2004-03-14 01:00:00,2.8,1484,131,11.9,1045,174,880,119,1624,1530,14.6,51.5,0.8536,58.8105225,43.97955577,74.61679609
2004-03-14 02:00:00,2.5,1367,92,8.6,925,128,953,104,1543,1337,12.5,58.9,0.8537,60.04834785,43.62571717,75.95675639
2004-03-14 03:00:00,2.4,1344,132,9.7,968,-200,921,-200,1620,1278,11.6,63.4,0.8674,60.99608526,45.90824218,76.33209814
2004-03-14 04:00:00,-200,1130,56,5.2,773,70,1130,82,1452,1051,12.1,61.1,0.8603,61.93999891,45.78979101,76.5168025
2004-03-14 05:00:00,1.2,1062,32,3.7,691,53,1272,70,1377,929,11.5,63.1,0.8533,62.97768593,47.51051525,78.0805487
2004-03-14 06:00:00,1,1076,29,2.5,618,44,1395,63,1333,872,11.6,62.2,0.8473,63.57530787,48.36402246,78.89252572
2004-03-14 07:00:00,0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853,62.71426277,47.09967166,79.6270511
2004-03-14 08:00:00,1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853,59.64653588,44.07859664,75.51320909
2004-03-14 09:00:00,1.6,1235,57,6.4,828,118,1055,83,1527,1093,12.4,60,0.8627,54.63688052,39.26809544,70.25202943
2004-03-14 10:00:00,2.2,1332,129,8.6,923,144,952,98,1614,1225,14.5,53.1,0.8728,48.9888558,34.4914483,63.84935378
2004-03-14 11:00:00,2.8,1445,148,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.8789,44.25593328,28.95522885,59.80532239
2004-03-14 12:00:00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.8474,41.27632613,26.74718437,56.39577267
2004-03-14 13:00:00,2,1281,93,7.5,880,113,1084,104,1525,980,21.2,31.4,0.7812,39.83634181,25.47174377,55.1302657
2004-03-14 14:00:00,1.8,1207,84,7.5,879,103,1104,102,1490,872,21.4,30.2,0.7616,39.19337415,24.51852384,55.28569741
2004-03-14 15:00:00,1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29,0.7525,38.91573875,24.17786621,55.97952722
2004-03-14 16:00:00,3,1458,150,11.9,1045,170,974,129,1646,1099,22.2,28.4,0.7516,39.2511114,24.27055386,54.61533904
2004-03-14 17:00:00,2.9,1438,156,12,1051,180,943,128,1668,1206,21.3,30.8,0.7696,40.73273783,24.99360731,56.3068598
2004-03-14 18:00:00,2.5,1478,122,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307,43.47407781,27.81824386,57.74678936
2004-03-14 19:00:00,4.6,1808,262,20.6,1312,261,753,157,1993,1698,18.4,41.7,0.8732,46.87234864,31.33126028,62.12885221
2004-03-14 20:00:00,5.9,1898,341,23.1,1381,325,681,173,2103,1905,17.6,46.1,0.921,50.00416952,34.41326514,64.73593774
2004-03-14 21:00:00,3.4,1560,214,14.7,1140,217,784,146,1818,1648,16.7,49.6,0.932,52.31011194,35.9161082,68.39674773
2004-03-14 22:00:00,2.1,1324,100,9,940,146,924,121,1587,1423,16.3,51,0.9341,53.90989954,37.83234945,69.92012269
2004-03-14 23:00:00,2.2,1349,79,8.8,933,152,933,119,1617,1349,14.7,55.9,0.9314,55.29330876,39.53296088,70.8781948
2004-03-15 00:00:00,1.8,1239,66,7.4,872,104,985,99,1547,1250,14.8,54.7,0.9164,56.75896022,41.13968984,71.72250445
2004-03-15 01:00:00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14,57,0.9094,58.18413146,41.42623322,73.44543542
2004-03-15 02:00:00,1.8,1224,66,7,855,108,998,88,1566,1149,13.4,61.3,0.9361,59.30866065,43.59041999,74.45355495
2004-03-15 03:00:00,1.1,1078,44,4.4,734,-200,1128,-200,1487,1021,12.6,63.5,0.923,60.1428926,44.57666416,76.54548557
